Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,name,full_name,gid
Putnam County Sheriff Office,NY,12,,20.0,0,5.0,4,11,321.0,74,238.0,9.0,,,,,,,,,,putnam county,"putnam county,NY",05000US36079
Rensselaer County Sheriff Department,NY,12,,37.0,0,3.0,2,32,200.0,70,126.0,4.0,,,,,,,,,,rensselaer county,"rensselaer county,NY",05000US36083
Rockland County Sheriff Office,NY,12,,10.0,0,0.0,0,10,39.0,0,38.0,1.0,,,,,,,,,,rockland county,"rockland county,NY",05000US36087
Rome City Police Dept,NY,12,33842.0,46.0,0,8.0,21,17,468.0,133,310.0,25.0,135.9,0.0,23.6,62.1,50.2,1382.9,393.0,916.0,73.9,rome city,"rome city,NY",16000US3663418
Adams County Sheriff Office,OH,12,,13.0,0,2.0,1,10,414.0,195,208.0,11.0,,,,,,,,,,adams county,"adams county,OH",05000US39001
Akron City Police Dept,OH,12,198390.0,1759.0,24,167.0,577,991,10034.0,3429,5884.0,721.0,886.6,12.1,84.2,290.8,499.5,5057.7,1728.4,2965.9,363.4,akron city,"akron city,OH",16000US3901000
Allen County Sheriff Office,OH,12,,69.0,2,18.0,12,37,1160.0,310,816.0,34.0,,,,,,,,,,allen county,"allen county,OH",05000US39003
Ashtabula County Sheriff Office,OH,12,,65.0,2,10.0,10,43,1346.0,369,921.0,56.0,,,,,,,,,,ashtabula county,"ashtabula county,OH",05000US39007
Athens City Police Dept,OH,12,23834.0,15.0,0,1.0,8,6,454.0,89,359.0,6.0,62.9,0.0,4.2,33.6,25.2,1904.8,373.4,1506.3,25.2,athens city,"athens city,OH",16000US3902736
Athens County Sheriff Office,OH,12,,19.0,0,5.0,6,8,641.0,206,419.0,16.0,,,,,,,,,,athens county,"athens county,OH",05000US39009
Auglaize County Sheriff Department,OH,12,,4.0,0,1.0,0,3,149.0,53,90.0,6.0,,,,,,,,,,auglaize county,"auglaize county,OH",05000US39011
Belmont County Sheriff Office,OH,12,,21.0,0,4.0,3,14,642.0,188,418.0,36.0,,,,,,,,,,belmont county,"belmont county,OH",05000US39013
Brown County Sheriff Office,OH,12,,2.0,0,0.0,1,1,198.0,72,122.0,4.0,,,,,,,,,,brown county,"brown county,OH",05000US39015
