,cost_exists,age_exists,cup_exists,county_fips,place_fips,state_fips,place,url,state,bls_code,b01001001,b01001a001,b01001b001,b15002003,b15002004,b15002005,b15002006,b15002007,b15002008,b15002009,b15002010,b15002011,b15002012,b15002013,b15002014,b15002015,b15002016,b15002017,b15002018,b19013001,gid,place,region,counts,completeness,completeness_std,Cup_mean mean,Cup_mean std,Cost_hour_mean mean,Cost_hour_mean std,Age_mean mean,Age_mean std
boone,,,,,7080.0,37.0,Boone,boone,north carolina,LAUCT370708000000003,,,,,,,,,,,,,,,,,,,,,,,boone,,,,,,,,,
boston,,,,,9460.0,,Boston,boston,massachasutts,,,,,,,,,,,,,,,,,,,,,,,,boston,,,,,,,,,
boulder,0.11757105943152454,0.021963824289405683,0.1421188630490956,13.0,7850.0,8.0,Boulder,boulder,colorado,LAUCT080785000000003,100403.0,88748.0,,151.0,44.0,442.0,46.0,116.0,163.0,147.0,101.0,1952.0,959.0,3229.0,1039.0,9611.0,5750.0,1585.0,3139.0,56205.0,16000US0807850,boulder,boulder,774.0,0.28165374677002586,0.5268956206777927,-0.20284237726098192,2.0171174810684964,217.14150532008793,90.33391578833726,-0.30103359173126615,4.867302417584703
bowlinggreen,0.09785932721712538,0.03669724770642202,0.10703363914373089,,8902.0,21.0,Bowling Green,bowlinggreen,kentucky,LAUCT210890200000003,59707.0,43717.0,8925.0,160.0,194.0,538.0,381.0,245.0,322.0,414.0,258.0,4400.0,889.0,3073.0,591.0,2100.0,921.0,306.0,494.0,31272.0,16000US2108902,bowlinggreen,bowlinggreen,327.0,0.2415902140672783,0.5309858093394707,-0.32262996941896027,1.982447933871183,255.11718750003124,98.92416554307118,0.3363914373088685,7.101584749669349
bozeman,,,,,8950.0,30.0,Bozeman,bozeman,montana,LAUCT300895000000003,38022.0,35196.0,,0.0,0.0,0.0,55.0,22.0,67.0,71.0,110.0,1424.0,541.0,2105.0,626.0,3779.0,1285.0,237.0,622.0,44106.0,16000US3008950,bozeman,bozeman,,,,,,,,,
brainerd,,,,,7300.0,27.0,Brainerd,brainerd,minnesota,LAUCT270730000000003,,,,,,,,,,,,,,,,,,,,,,,brainerd,,,,,,,,,
bronx,,,,5.0,8510.0,36.0,Bronx,bronx,new york,LAUCT360851000000003,,,,,,,,,,,,,,,,,,,,,,,bronx,,,,,,,,,
brooklyn,,,,,10022.0,36.0,Brooklyn,brooklyn,new york,LAUCT361002200000003,,,,,,,,,,,,,,,,,,,,,,,brooklyn,,,,,,,,,
brownsville,0.071875,0.021875,0.01875,,10768.0,48.0,Brownsville,brownsville,texas,LAUCT481076800000003,178045.0,162342.0,,1622.0,1646.0,3281.0,2343.0,2368.0,1891.0,1392.0,1227.0,9937.0,1773.0,6795.0,2702.0,5364.0,1143.0,677.0,507.0,31246.0,16000US4810768,brownsville,brownsville,320.0,0.1125,0.3357021369680126,-0.86875,0.954263654477657,213.91304347826087,293.39299010084784,-0.484375,3.7020378506504903
brunswick,,,,,11560.0,13.0,Brunswick,brunswick,georgia,LAUCT131156000000003,,,,,,,,,,,,,,,,,,,,,,,brunswick,,,,,,,,,
buffalo,0.1173974540311174,0.04384724186704385,0.19519094766619519,,11000.0,36.0,Buffalo,buffalo,new york,LAUCT361100000000003,260321.0,130802.0,97896.0,1384.0,559.0,907.0,1568.0,1436.0,2353.0,3145.0,2402.0,22288.0,4246.0,11220.0,5469.0,9960.0,5783.0,1822.0,1246.0,29891.0,16000US3611000,buffalo,buffalo,2121.0,0.3564356435643564,0.5674066515633837,0.1136256482791089,2.328094365276271,232.13955823292372,525.8903802110351,0.19236209335219237,5.701601738948563
burlington,,,,0.0,,50.0,Vermont,burlington, vermont,,,,,,,,,,,,,,,,,,,,,,,,burlington,,,,,,,,,
butte,,,,,,30.0,Butte,butte,montana,,997852.0,893164.0,4621.0,1257.0,429.0,901.0,5905.0,3757.0,5172.0,6183.0,4692.0,105053.0,21569.0,60746.0,24714.0,64068.0,19130.0,7508.0,5266.0,45072.0,04000US30,butte,butte,,,,,,,,,
capecod,0.06077348066298342,0.08425414364640885,0.1505524861878453,,,,Cape Cod,capecod,massachasutts,,303714.0,245398.0,7945.0,3034.0,9041.0,6820.0,7398.0,5990.0,2518.0,2879.0,886.0,27604.0,462.0,9911.0,6967.0,10064.0,2096.0,762.0,521.0,15184.0,31000US10380,capecod,capecod,724.0,0.2955801104972376,0.5624804977145916,-0.13259668508287292,2.092359385570407,171.83712121211363,97.16884056655115,1.117403314917127,7.109596568890657
carbondale,0.10204081632653061,,0.09863945578231292,,11163.0,17.0,Carbondale,carbondale,illinois,LAUCT171116300000003,25583.0,16174.0,6574.0,48.0,0.0,37.0,13.0,16.0,11.0,78.0,95.0,978.0,74.0,1226.0,372.0,1204.0,860.0,30.0,331.0,17444.0,16000US1711163,carbondale,carbondale,294.0,0.20068027210884354,0.4493448547041264,-0.5102040816326531,1.5582757029485077,198.05555555556666,64.1359955557489,-1.0,0.0
catskills,0.04819277108433735,0.018072289156626505,0.018072289156626505,,,36.0,Catskills,catskills,new york,,19490373.0,12756269.0,3033052.0,100813.0,53725.0,128491.0,137848.0,105137.0,137350.0,143665.0,144230.0,1729265.0,291551.0,763844.0,464727.0,1190942.0,534211.0,205644.0,105409.0,56657.0,04000US36,catskills,catskills,166.0,0.08433734939759036,0.27873390273872684,-0.8795180722891566,0.8997991743810768,236.14583333324998,55.095403367451084,-0.6385542168674698,2.672319674458365
cedarrapids,0.06324110671936758,0.02766798418972332,0.15019762845849802,,12000.0,19.0,Cedar Rapids,cedarrapids,iowa,LAUCT191200000000003,127503.0,111590.0,7940.0,355.0,39.0,72.0,514.0,298.0,626.0,769.0,603.0,10440.0,3237.0,6467.0,3952.0,8345.0,2769.0,900.0,411.0,52455.0,16000US1912000,cedarrapids,cedarrapids,506.0,0.24110671936758893,0.4679531588582919,-0.1422924901185771,2.1012749268576254,238.90885416665623,152.84019191613382,-0.2766798418972332,4.343941911554433
centraljersey,0.14056107539450613,0.053185271770894216,0.17212156633547632,,,34.0,Central Jersey,centraljersey,new jersey,,8834249.0,6111522.0,1191729.0,33507.0,23585.0,45687.0,53235.0,37852.0,51004.0,51465.0,51182.0,816922.0,140153.0,355556.0,150122.0,638156.0,266739.0,86609.0,54989.0,70062.0,04000US34,centraljersey,centraljersey,3422.0,0.36586791350087666,0.6015505086109441,0.0369666861484512,2.3232033516201955,213.9598802098979,292.2367375242598,0.29967855055523085,5.579588894552576
centralmich,0.058365758754863814,0.0038910505836575876,0.038910505836575876,,,26.0,Central Michigan,centralmich,michigan,,9879277.0,7835838.0,1387599.0,34061.0,9139.0,18865.0,49920.0,42921.0,74629.0,87624.0,55350.0,985126.0,239334.0,519076.0,230289.0,498786.0,213946.0,66786.0,41443.0,47175.0,04000US26,centralmich,centralmich,257.0,0.10116731517509728,0.3820670027004808,-0.8015564202334631,0.9938863456620104,196.2222222222,65.45465735385731,-0.9105058365758755,1.4347005815691523
